,Description,Image_url
24,Joggers Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/4e/1b/4e1b36460557acd95a0a1efa1804924c89a084b3.jpg],origin[dam],category[men_trousers_joggers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
25,Joggers Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/aa/7f/aa7f0b94c4238fa1e69c42127b23476769cb5570.jpg],origin[dam],category[men_trousers_joggers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
26,Joggers Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/78/a6/78a6296350bf568dcec32198538cf325d2912150.jpg],origin[dam],category[men_trousers_joggers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
27,Joggers Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/c3/02/c302789e79df17320b8f563dd273e4670d8c6bc1.jpg],origin[dam],category[men_trousers_joggers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
28,JoggersModel,"http://lp2.hm.com/hmgoepprod?set=source[/43/a1/43a11adef4b7e6b725f8d107666013fafd0fd621.jpg],origin[dam],category[men_trousers_joggers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
29,Sweatpants Regular FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/06/f8/06f85e18b457b755e7892853a0d08ac3c0c2809a.jpg],origin[dam],category[men_trousers_joggers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
30,JoggersModel,"http://lp2.hm.com/hmgoepprod?set=source[/62/15/6215faca82767c91d3a002e3d520a60a1e9cf0fc.jpg],origin[dam],category[men_trousers_casual],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]"
31,Track pantsModel,"http://lp2.hm.com/hmgoepprod?set=source[/74/92/7492252a536815734bc161737a298a5c9609aaf9.jpg],origin[dam],category[men_sport_bottoms],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]"
32,Sweatpants Regular FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/26/9f/269f13a29c814a3a24d818fd4f9068f958d0b131.jpg],origin[dam],category[men_trousers_joggers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
33,Linen trousers Relaxed FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/4b/3a/4b3ab5201055bf9a6fcb6c255fc4f66b4f870b03.jpg],origin[dam],category[men_trousers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
34,Brushed cotton twill joggersModel,"http://lp2.hm.com/hmgoepprod?set=source[/77/ab/77abc4daf74f74cacc8721d868727284198dfc1a.jpg],origin[dam],category[men_trousers_joggers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]"
35,Cotton chinos Skinny fitModel,"http://lp2.hm.com/hmgoepprod?set=source[/56/5f/565f042514c2e21a81c465191a32848903574d91.jpg],origin[dam],category[men_trousers_chinos_skinny_all],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
36,Chinos Slim Fit StretchModel,"http://lp2.hm.com/hmgoepprod?set=source[/f6/11/f611f6759b56778608bd7c5bccd4acfa902bffd0.jpg],origin[dam],category[men_trousers_chinos_slim_all],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
37,Suit trousers Skinny FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/e6/08/e60816d8bbeb4813fb0b1ed2185849ad15e9ac05.jpg],origin[dam],category[men_blazerssuits_trousers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
38,Chinos Slim Fit StretchModel,"http://lp2.hm.com/hmgoepprod?set=source[/95/57/9557e5f9d3ad4e63eb92030112793354834eb60a.jpg],origin[dam],category[men_trousers_chinos_slim_all],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
39,Slim Super Soft JeansModel,"http://lp2.hm.com/hmgoepprod?set=source[/a1/6a/a16a12c04abbc59a46baa83801bc7a0147f83898.jpg],origin[dam],category[men_jeans_slim],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]"
40,Cargo joggersModel,"http://lp2.hm.com/hmgoepprod?set=source[/e1/cb/e1cbd9125e95e093c43eb7bfd312dc1567c9bacc.jpg],origin[dam],category[men_trousers_joggers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
41,Chinos Slim Fit StretchModel,"http://lp2.hm.com/hmgoepprod?set=source[/f6/f5/f6f5619056c66dacaf05efc48c0327088e6dbe01.jpg],origin[dam],category[men_trousers_chinos_slim_all],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
42,Linen trousers Relaxed FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/5f/31/5f311b80c7319103fe1323846c5be50025a987af.jpg],origin[dam],category[men_trousers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
43,Cotton chinos Skinny fitModel,"http://lp2.hm.com/hmgoepprod?set=source[/b9/fc/b9fc3df031aa5903d876dad04d3cbd462d43b726.jpg],origin[dam],category[men_trousers_chinos_skinny_all],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
44,Cargo joggersModel,"http://lp2.hm.com/hmgoepprod?set=source[/aa/c5/aac5bc6a99e5239b924cff52edd1d61657c85068.jpg],origin[dam],category[men_trousers_joggers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
45,Chinos Slim Fit StretchModel,"http://lp2.hm.com/hmgoepprod?set=source[/69/44/69440123545af4933f504fed94390c4740b849cb.jpg],origin[dam],category[men_trousers_chinos_slim_all],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
46,Twill trousers Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/4b/d7/4bd7c5a1c6469e7bf9bc76bf0b075a179541ae6e.jpg],origin[dam],category[men_trousers_trousers_slim_all],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
47,Cotton cargo trousersModel,"http://lp2.hm.com/hmgoepprod?set=source[/aa/7e/aa7e8ce5f6ce141bdbacc88f3d1211e73b94a226.jpg],origin[dam],category[men_trousers_cargo],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]"
48,Linen trousers Relaxed FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/c9/5a/c95a2815205ba261903394b560dda849c58d2e21.jpg],origin[dam],category[men_trousers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
49,Twill trousers Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/61/4a/614ae4be0a9370ad0b53facd927009e751ec8043.jpg],origin[dam],category[men_trousers_trousers_slim_all],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]"
50,Cotton cargo joggersModel,"http://lp2.hm.com/hmgoepprod?set=source[/1c/7d/1c7df755b5d88dde4d1c8e3f0ede8a04b5204874.jpg],origin[dam],category[men_trousers_cargo],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]"
51,Chinos Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/08/51/0851fbc5186a70c37b377ec505be87d0c7e48258.jpg],origin[dam],category[men_trousers_chinos_slim_all],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
52,Twill trousers Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/8b/26/8b2685e0f4d16a4f3de8b228ca0b3725b8dae800.jpg],origin[dam],category[men_trousers_trousers_slim_all],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
53,Cotton chinos Skinny fitModel,"http://lp2.hm.com/hmgoepprod?set=source[/ba/e2/bae24a15a566d4aad1578eb4c5fd5c5d6cd80147.jpg],origin[dam],category[men_trousers_chinos_skinny_all],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
54,Cargo joggersModel,"http://lp2.hm.com/hmgoepprod?set=source[/6e/29/6e29512d44f076786945d5b732af5ae8237f8e3a.jpg],origin[dam],category[men_trousers_joggers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
55,Suit trousers Skinny FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/38/7a/387a6d5ec1dfedee9c951d3ca465d9d489f4bfda.jpg],origin[dam],category[men_trousers_dressed],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
56,Twill trousers Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/fd/8e/fd8e9fab5d95e4f55bd93bf1fdd99d45bf7939c4.jpg],origin[dam],category[men_trousers_trousers_slim_all],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
57,Linen suit trousers Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/00/45/0045be09c2e36581a0a044bce24f4de3e9f0509f.jpg],origin[dam],category[men_blazerssuits_trousers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
58,Joggers Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/da/49/da498652edb04a8a571a71a892b39960fc4450d9.jpg],origin[dam],category[men_trousers_joggers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]"
59,Suit trousers Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/ec/f5/ecf5b70ff8d1582fd8ad7fd16e0274dede25e23d.jpg],origin[dam],category[men_trousers_dressed],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
60,Cotton cargo trousersModel,"http://lp2.hm.com/hmgoepprod?set=source[/b4/b2/b4b2f553d83dd919a2762f5d9751f6429854daf1.jpg],origin[dam],category[men_trousers_cargo],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
61,Cotton chinos Skinny fitModel,"http://lp2.hm.com/hmgoepprod?set=source[/75/bf/75bfa1497d4fb055a19eb1519e01fab717b94fb5.jpg],origin[dam],category[men_trousers_chinos_skinny_all],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
62,Linen suit trousers Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/b2/b0/b2b08739daba0a41812aa2a9524ed56a4d90ce46.jpg],origin[dam],category[men_blazerssuits_trousers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
63,Brushed cotton twill joggersModel,"http://lp2.hm.com/hmgoepprod?set=source[/ac/09/ac09d6f91d71274c319120edb554917d80d64a7e.jpg],origin[dam],category[men_trousers_joggers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]"
64,Linen-blend trousersModel,"http://lp2.hm.com/hmgoepprod?set=source[/42/56/42569202be7556a8bf10a3130d38e2c32a91b272.jpg],origin[dam],category[men_trousers_trousers_regular_all],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
